,regionSeg1,productSeg2,regionSeg2,regionSeg3,productSeg3,yearweek,year,week,qty,map_price,ir,pmap,pmap10,pro_percent
135415,A01,PG01,SALESID0001,SITEID0001,ITEM0110,201601,2016,1,32,699.0,89.0,610.0,549.0,0.214592275
135556,A01,PG01,SALESID0001,SITEID0001,ITEM0111,201601,2016,1,1,649.0,39.0,610.0,549.0,0.154083205
135887,A01,PG01,SALESID0001,SITEID0001,ITEM0116,201601,2016,1,15,549.0,50.0,499.0,449.0,0.18214936199999998
136057,A01,PG01,SALESID0001,SITEID0001,ITEM0117,201601,2016,1,149,599.0,100.0,499.0,449.0,0.250417362
133688,A01,PG01,SALESID0001,SITEID0001,ITEM0118,201601,2016,1,15,549.0,50.0,499.0,449.0,0.18214936199999998
133848,A01,PG01,SALESID0001,SITEID0001,ITEM0119,201601,2016,1,17,1099.0,100.0,999.0,899.0,0.181983621
134001,A01,PG01,SALESID0001,SITEID0001,ITEM0120,201601,2016,1,5,999.0,111.0,888.0,799.0,0.20020020000000002
134131,A01,PG01,SALESID0001,SITEID0001,ITEM0122,201601,2016,1,2,1199.0,89.0,1110.0,999.0,0.166805671
135224,A01,PG01,SALESID0001,SITEID0002,ITEM0109,201601,2016,1,2,649.0,39.0,610.0,549.0,0.154083205
135388,A01,PG01,SALESID0001,SITEID0002,ITEM0110,201601,2016,1,18,699.0,89.0,610.0,549.0,0.214592275
135533,A01,PG01,SALESID0001,SITEID0002,ITEM0111,201601,2016,1,2,649.0,39.0,610.0,549.0,0.154083205
135749,A01,PG01,SALESID0001,SITEID0002,ITEM0115,201601,2016,1,1,1599.0,156.0,1443.0,1299.0,0.187617261
135861,A01,PG01,SALESID0001,SITEID0002,ITEM0116,201601,2016,1,11,549.0,50.0,499.0,449.0,0.18214936199999998
136030,A01,PG01,SALESID0001,SITEID0002,ITEM0117,201601,2016,1,99,599.0,100.0,499.0,449.0,0.250417362
136186,A01,PG01,SALESID0001,SITEID0002,ITEM0118,201601,2016,1,16,549.0,50.0,499.0,449.0,0.18214936199999998
133821,A01,PG01,SALESID0001,SITEID0002,ITEM0119,201601,2016,1,13,1099.0,100.0,999.0,899.0,0.181983621
133976,A01,PG01,SALESID0001,SITEID0002,ITEM0120,201601,2016,1,3,999.0,111.0,888.0,799.0,0.20020020000000002
134111,A01,PG01,SALESID0001,SITEID0002,ITEM0122,201601,2016,1,1,1199.0,89.0,1110.0,999.0,0.166805671
135199,A01,PG01,SALESID0001,SITEID0003,ITEM0109,201601,2016,1,2,649.0,39.0,610.0,549.0,0.154083205
135361,A01,PG01,SALESID0001,SITEID0003,ITEM0110,201601,2016,1,20,699.0,89.0,610.0,549.0,0.214592275
135512,A01,PG01,SALESID0001,SITEID0003,ITEM0111,201601,2016,1,1,649.0,39.0,610.0,549.0,0.154083205
135740,A01,PG01,SALESID0001,SITEID0003,ITEM0115,201601,2016,1,2,1599.0,156.0,1443.0,1299.0,0.187617261
135835,A01,PG01,SALESID0001,SITEID0003,ITEM0116,201601,2016,1,13,549.0,50.0,499.0,449.0,0.18214936199999998
136003,A01,PG01,SALESID0001,SITEID0003,ITEM0117,201601,2016,1,123,599.0,100.0,499.0,449.0,0.250417362
136160,A01,PG01,SALESID0001,SITEID0003,ITEM0118,201601,2016,1,12,549.0,50.0,499.0,449.0,0.18214936199999998
